h_id,DateTime,import_energy,export_energy
MAC000541,2013-04-08 09:00:00,0.0,0.09551232694395267
MAC000541,2013-04-08 10:00:00,0.0,0.4381496233844757
MAC000541,2013-04-08 11:00:00,0.0,0.7642610372095109
MAC000541,2013-04-08 12:00:00,0.0,1.064271392296791
MAC000541,2013-04-08 13:00:00,0.0,1.293911081457138
MAC000541,2013-04-08 14:00:00,0.0,1.5221731249561308
MAC000541,2013-04-08 15:00:00,0.0,1.1328632185630798
MAC000541,2013-04-08 16:00:00,0.0,0.6401403984012604
MAC000541,2013-04-08 17:00:00,0.0,0.3788734539947509
MAC000541,2013-04-08 18:00:00,0.0,0.25207481881332405
MAC000541,2013-04-08 19:00:00,0.0,0.01581900101470951
MAC000541,2013-04-08 20:00:00,0.0,0.0
MAC000541,2013-04-08 21:00:00,0.0,0.0
MAC000541,2013-04-08 22:00:00,0.0,0.0
MAC000541,2013-04-08 23:00:00,0.0,0.0
MAC000541,2013-04-09 00:00:00,0.0,0.0
MAC000541,2013-04-09 01:00:00,0.0,0.0
MAC000541,2013-04-09 02:00:00,0.0,0.0
MAC000541,2013-04-09 03:00:00,0.0,0.0
MAC000541,2013-04-09 04:00:00,0.0,0.0
MAC000541,2013-04-09 05:00:00,0.0,0.0
MAC000541,2013-04-09 06:00:00,0.0,0.0
MAC000541,2013-04-09 07:00:00,0.0,0.0
MAC000541,2013-04-09 08:00:00,0.0,0.0
MAC000541,2013-04-09 09:00:00,0.0,0.0
MAC000541,2013-04-09 10:00:00,0.0,0.0
MAC000541,2013-04-09 11:00:00,0.0,0.0
MAC000541,2013-04-09 12:00:00,0.0,0.0
MAC000541,2013-04-09 13:00:00,0.0,0.0
MAC000541,2013-04-09 14:00:00,0.0,0.058296505186322733
MAC000541,2013-04-09 15:00:00,0.0,0.0
MAC000541,2013-04-09 16:00:00,0.0,0.0
MAC000541,2013-04-09 17:00:00,0.0,0.0
MAC000541,2013-04-09 18:00:00,0.0,0.0
MAC000541,2013-04-09 19:00:00,0.0,0.0
MAC000541,2013-04-09 20:00:00,0.0,0.0
MAC000541,2013-04-09 21:00:00,0.0,0.0
MAC000541,2013-04-09 22:00:00,0.0,0.0
MAC000541,2013-04-09 23:00:00,0.0,0.0
MAC000541,2013-04-10 00:00:00,0.0,0.0
